[literature] bookID;title;authors;average_rating;language_code;  num_pages;ratings_count;publication_date;publisher  # header
[literature] 1;Harry Potter and the Half-Blood Prince (Harry Potter  #6);J.K. Rowling/Mary GrandPré;4.57;eng;652;2095690;9/16/2006;Scholastic Inc.
[literature] 2;Harry Potter and the Order of the Phoenix (Harry Potter  #5);J.K. Rowling/Mary GrandPré;4.49;eng;870;2153167;9/1/2004;Scholastic Inc.
[literature] 4;Harry Potter and the Chamber of Secrets (Harry Potter  #2);J.K. Rowling;4.42;eng;352;6333;11/1/2003;Scholastic
[literature] 5;Harry Potter and the Prisoner of Azkaban (Harry Potter  #3);J.K. Rowling/Mary GrandPré;4.56;eng;435;2339585;5/1/2004;Scholastic Inc.
[literature] 8;Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5);J.K. Rowling/Mary GrandPré;4.78;eng;2690;41428;9/13/2004;Scholastic
[literature] 10;Harry Potter Collection (Harry Potter  #1-6);J.K. Rowling;4.73;eng;3342;28242;9/12/2005;Scholastic
[literature] 12;The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5);Douglas Adams;4.38;eng;815;3628;11/1/2005;Gramercy Books
[literature] 13;The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5);Douglas Adams;4.38;eng;815;249558;4/30/2002;Del Rey Books
[literature] 14;The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1);Douglas Adams;4.22;eng;215;4930;8/3/2004;Crown
[literature] 16;The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1);Douglas Adams/Stephen Fry;4.22;eng;6;1266;3/23/2005;Random House Audio
[literature] 18;The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5);Douglas Adams;4.38;eng;815;2877;1/17/1996;Wings Books
[literature] 21;A Short History of Nearly Everything;Bill Bryson;4.21;eng;544;248558;9/14/2004;Broadway Books
[literature] 24;In a Sunburned Country;Bill Bryson;4.07;eng;335;72451;5/15/2001;Broadway Books
[literature] 30;J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings;J.R.R. Tolkien;4.59;eng;1728;101233;9/25/2012;Ballantine Books
[literature] 31;The Lord of the Rings (The Lord of the Rings  #1-3);J.R.R. Tolkien;4.50;eng;1184;1710;10/21/2004;Houghton Mifflin Harcourt
[literature] 34;The Fellowship of the Ring (The Lord of the Rings  #1);J.R.R. Tolkien;4.36;eng;398;2128944;9/5/2003;Houghton Mifflin Harcourt
[literature] 35;The Lord of the Rings (The Lord of the Rings  #1-3);J.R.R. Tolkien/Alan  Lee;4.50;en-US;1216;1618;10/1/2002;Houghton Mifflin Harcourt
[literature] 36;The Lord of the Rings: Weapons and Warfare;Chris   Smith/Christopher  Lee/Richard Taylor;4.53;eng;218;19822;11/5/2003;Houghton Mifflin Harcourt
[literature] 59;The Changeling Sea;Patricia A. McKillip;4.06;eng;137;4454;4/14/2003;Firebird
[literature] 61;The Changeling;Zilpha Keatley Snyder;4.17;eng;228;1176;6/8/2004;iUniverse
[literature] 77;The Control of Nature;John McPhee;4.24;en-US;288;3498;9/1/1990;Farrar  Straus and Giroux
[literature] 78;Annals of the Former World;John McPhee;4.34;eng;720;3115;1/6/1999;Farrar  Straus and Giroux
[literature] 79;Coming Into the Country;John McPhee;4.22;eng;448;5704;4/1/1991;Farrar  Straus and Giroux
[literature] 83;Rising from the Plains;John McPhee;4.23;eng;208;1341;11/1/1987;Farrar  Straus and Giroux
[literature] 119;The Lord of the Rings: The Art of the Fellowship of the Ring;Gary Russell;4.59;eng;192;26153;6/12/2002;Houghton Mifflin Harcourt
[literature] 122;The Power of One (The Power of One  #1);Bryce Courtenay;4.35;eng;544;69167;9/29/1996;Ballantine Books
[literature] 151;Anna Karenina;Leo Tolstoy/Richard Pevear/Larissa Volokhonsky;4.05;eng;838;16643;5/31/2004;Penguin Classics
[literature] 152;Anna Karenina;Leo Tolstoy/David Magarshack/Priscilla Meyer;4.05;eng;960;109420;11/5/2002;Signet
[literature] 153;Anna Karenina;Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley;4.05;eng;837;2904;1/30/2003;Penguin Books
[literature] 155;Anna Karenina;Leo Tolstoy/Amy Mandelker/Constance Garnett;4.05;eng;803;9564;7/1/2003;Barnes & Noble Classics
[literature] 160;Tolstoy: Anna Karenina;Anthony Thorlby;4.19;eng;128;1204;11/26/1987;Cambridge University Press
[literature] 205;A Long Shadow (Inspector Ian Rutledge  #8);Charles Todd;4.11;eng;352;3086;1/3/2006;William Morrow
[literature] 251;Nexus (The Rosy Crucifixion  #3);Henry Miller;4.10;eng;316;3261;1/13/1994;Grove Press
[literature] 292;Sand and Foam;Kahlil Gibran/جبران خليل جبران;4.08;eng;100;3015;6/14/2011;Knopf
[literature] 330;On Beyond Zebra!;Dr. Seuss;4.04;eng;64;2815;9/12/1955;Random House Books for Young Readers
[literature] 357;The Long Dark Tea-Time of the Soul (Dirk Gently  #2);Douglas Adams;4.06;en-US;307;67803;2/15/1991;Pocket Books
[literature] 362;Wish You Were Here: The Official Biography of Douglas Adams;Nick  Webb;4.14;eng;368;2623;12/27/2005;Del Rey
[literature] 397;The Gettysburg Address;Abraham Lincoln/Michael McCurdy;4.53;eng;32;5239;2/2/1998;HMH Books for Young Readers
[literature] 409;Against the Day;Thomas Pynchon;4.13;eng;1085;5296;11/21/2006;Penguin Press
[literature] 413;Mason & Dixon;Thomas Pynchon/Christophe Claro/Brice Matthieussent;4.07;eng;773;8086;1/3/2004;Picador USA
[literature] 421;The White Album;Joan Didion;4.17;eng;222;11889;10/1/1990;Farrar Straus Giroux
[literature] 424;Slouching Towards Bethlehem;Joan Didion;4.21;eng;238;26934;10/1/1990;Farrar Straus Giroux
[literature] 426;We Tell Ourselves Stories in Order to Live: Collected Nonfiction;Joan Didion/John Leonard;4.50;eng;1122;1564;10/17/2006;Everyman's Library
[literature] 531;A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War;Victor Davis Hanson;4.11;eng;397;1693;9/12/2006;Random House
[literature] 639;Once Upon a Cool Motorcycle Dude;Kevin O'Malley/Carol Heyer/Scott Goto;4.08;eng;32;1773;4/1/2005;Walker & Company
[literature] 655;The Death of Ivan Ilych And Other Stories;Leo Tolstoy/Hugh McLean;4.11;eng;304;7300;4/1/2003;Signet Classics
[literature] 656;War and Peace;Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude;4.11;eng;1392;211671;6/25/1998;Oxford University Press
[literature] 658;The Kingdom of God Is Within You;Leo Tolstoy/Constance Garnett;4.13;eng;352;2403;9/8/2006;Dover Publications
[literature] 676;Sailing Alone Around the Room: New and Selected Poems;Billy Collins;4.23;eng;192;12180;9/17/2002;Random House Trade Paperbacks
[literature] 759;Collected Stories;Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein;4.19;eng;352;6375;5/13/2008;Harper Perennial Modern Classics
[literature] 771;The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory;Brian Greene;4.07;eng;425;32569;9/2/2004;Vintage Books USA
[literature] 816;Cryptonomicon;Neal Stephenson;4.25;eng;1139;83184;11/1/2002;Avon
[literature] 822;The Confusion (The Baroque Cycle  #2);Neal Stephenson;4.26;en-US;815;19320;6/14/2005;William Morrow Paperbacks
[literature] 827;The Diamond Age: Or  A Young Lady's Illustrated Primer;Neal Stephenson/Pedro Jorge Romero;4.19;eng;499;71042;5/2/2000;Spectra
[literature] 829;Odalisque (The Baroque Cycle  Vol. 1  Book 3);Neal Stephenson;4.20;en-US;464;1567;3/28/2006;HarperTorch
[literature] 834;Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame;Dan Harrington/Bill Robertie;4.16;eng;450;1474;6/1/2005;Two Plus Two Publishing LLC
[literature] 835;Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play;Dan Harrington/Bill Robertie;4.24;eng;381;1929;12/1/2004;Two Plus Two Publishing LLC
[literature] 840;The Design of Everyday Things;Donald A. Norman;4.17;eng;240;18602;9/19/2002;Basic Books
[literature] 866;Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9);Hiromu Arakawa/Akira Watanabe;4.57;eng;192;9013;9/19/2006;VIZ Media LLC
[literature] 868;Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3);Hiromu Arakawa/Akira Watanabe;4.56;eng;192;16666;9/13/2005;VIZ Media LLC
[literature] 869;Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8);Hiromu Arakawa/Akira Watanabe;4.57;eng;192;11451;7/18/2006;VIZ Media LLC
[literature] 870;Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1);Hiromu Arakawa/Akira Watanabe;4.50;eng;192;111091;5/3/2005;VIZ Media LLC
[literature] 871;Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4);Hiromu Arakawa/Akira Watanabe;4.55;eng;200;10752;11/8/2005;VIZ Media LLC
[literature] 873;Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2);Hiromu Arakawa/Akira Watanabe;4.52;eng;192;14923;7/5/2005;VIZ Media LLC
[literature] 929;Memoirs of a Geisha;Arthur Golden;4.11;eng;503;280309;11/22/2005;Vintage Books USA
[literature] 930;Memoirs of a Geisha;Arthur Golden;4.11;eng;434;1301083;11/15/2005;Random House Large Print Publishing
[literature] 931;Memoirs of a Geisha;Arthur Golden;4.11;en-US;497;2122;12/1/2005;Vintage
[literature] 933;Memoirs of a Geisha;Arthur Golden;4.11;eng;497;4189;6/4/1998;Vintage
[literature] 1005;Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century;Napoleon Hill;4.18;eng;320;88897;9/1/2005;Tarcherperigee
[literature] 1052;The Richest Man in Babylon;George S. Clason;4.26;eng;194;76451;2/1/2008;Berkley Books
[literature] 1059;Shibumi;Trevanian/Gisela Stege;4.21;eng;480;9498;5/10/2005;Broadway Books
[literature] 1067;1776;David McCullough;4.07;eng;386;166916;7/4/2006;Simon  Schuster
[literature] 1068;1776;Peter  Stone/Sherman Edwards;4.22;eng;192;1299;11/18/1976;Penguin Books
[literature] 1103;Snow Flower and the Secret Fan;Lisa See;4.07;eng;269;297533;2/21/2006;Random House
[literature] 1111;The Power Broker: Robert Moses and the Fall of New York;Robert A. Caro;4.51;eng;1344;11208;7/12/1975;Vintage
[literature] 1171;Liar's Poker;Michael   Lewis;4.15;eng;256;22843;10/1/1990;Penguin Books
[literature] 1193;Everyday Pasta;Giada De Laurentiis/Victoria Pearson;4.09;eng;240;8822;4/3/2007;Clarkson Potter
[literature] 1196;Tyler's Ultimate: Brilliant Simple Food to Make Any Time;Tyler Florence/Petrina Tinslay;4.09;eng;256;3697;9/26/2006;Clarkson Potter
[literature] 1197;Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook;Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay;4.06;eng;304;1426;3/25/2003;Clarkson Potter Publishers
[literature] 1252;Lincoln on Leadership: Executive Strategies for Tough Times;Donald T. Phillips;4.14;eng;193;5354;2/1/1993;Business Plus
